,month,rides,days,total_hours,total_miles,avg_calories,avg_output/min
0,December 2021,9,7,2.24,32.37,117.11,5.5
1,January 2022,9,6,2.41,31.56,114.22,5.16
2,February 2022,11,10,3.82,61.51,184.45,6.45
3,March 2022,10,9,3.5,56.72,343.0,6.37
4,April 2022,5,4,1.74,23.17,251.6,5.7
5,June 2022,4,4,1.32,21.88,339.25,6.56
6,July 2022,1,1,0.33,5.32,368.0,6.05
7,August 2022,3,3,0.99,15.78,282.0,5.98
8,September 2022,6,5,1.65,26.35,245.83,6.1
9,November 2022,5,5,1.57,24.3,322.0,5.76
10,January 2023,7,6,2.49,38.7,348.29,5.69
11,February 2023,7,7,2.31,37.08,315.14,6.09
12,March 2023,9,8,2.84,44.21,286.22,6.12
13,April 2023,5,5,1.82,28.56,367.4,5.96
14,May 2023,9,9,3.15,51.56,354.89,6.46
15,June 2023,9,9,3.65,58.03,420.44,6.35
16,July 2023,10,10,4.15,66.3,373.5,6.33
17,August 2023,23,22,9.97,157.05,433.09,6.27
18,September 2023,25,23,10.36,168.62,414.6,6.4
19,October 2023,24,24,11.52,185.01,462.08,6.35
20,November 2023,22,22,11.83,188.45,496.77,6.17
21,December 2023,19,19,9.41,155.33,474.74,6.72
22,January 2024,11,11,5.42,91.09,496.73,6.94
